Layers - 2; LaySize - 128; Epochs - 10; Acc - 0.5416666865348816
Layers - 2; LaySize - 128; Epochs - 12; Acc - 0.5416666865348816
Layers - 2; LaySize - 128; Epochs - 14; Acc - 0.5416666865348816
Layers - 2; LaySize - 128; Epochs - 16; Acc - 0.5416666865348816
Layers - 2; LaySize - 128; Epochs - 18; Acc - 0.5416666865348816
Layers - 2; LaySize - 128; Epochs - 20; Acc - 0.5416666865348816
Layers - 2; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 2; LaySize - 512; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 5; Acc - 0.08749999850988388
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 256; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 512; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 512; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 512; Epochs - 10; Acc - 0.125
Layers - 3; LaySize - 512; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 512; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 512; Epochs - 10; Acc - 0.125
Layers - 3; LaySize - 512; Epochs - 6; Acc - 0.08749999850988388
Layers - 3; LaySize - 512; Epochs - 10; Acc - 0.5416666865348816
Layers - 3; LaySize - 512; Epochs - 7; Acc - 0.2916666567325592
Layers - 3; LaySize - 512; Epochs - 8; Acc - 0.5416666865348816
Layers - 3; LaySize - 512; Epochs - 8; Acc - 0.5416666865348816
Layers - 3; LaySize - 512; Epochs - 8; Acc - 0.125
Layers - 3; LaySize - 512; Epochs - 9; Acc - 0.5416666865348816
